,X,Y,SPEED,CURVATURE,ARCLENGTH
count,180.0,180.0,180.0,180.0,180.0
mean,31.915820555555552,115.51689444444447,0.3149988497950014,0.9714542123337039,28.70916335042703
std,2.437385129536742,8.422327306183428,0.1770769256583344,4.591802810465657,16.19694700069619
min,28.482100000000003,100.0494,0.02603459237245775,0.00017726920476000263,0.0
25%,30.015950000000004,111.55507500000002,0.1723967766139857,0.0532480538061472,16.28906845286363
50%,31.230400000000003,115.1986,0.2807882593616815,0.145018390172456,30.21789007271608
75%,34.1558,123.65552500000001,0.42406851239573473,0.6162832605837408,42.71287974482217
max,36.6109,127.09070000000001,0.8848263332428584,60.059797271013394,56.30016260032886
