,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-1.2004399580272016,0.6010078339812234,0.01359377684350545,31.424623300223033
std,0.32369830473809047,0.1211509307500848,0.005245849280349877,232.47103519280378
min,-1.6828390677232388,0.3827368364455328,0.0006898497501575726,0.029369145178629145
25%,-1.4524131297653937,0.47457687945990046,0.0101386658033862,3.864707481809546
50%,-1.235233072464237,0.6326318290033277,0.01351025003203948,8.118894559387961
75%,-0.9817185316743119,0.676158257950549,0.01681663802794209,14.495821216326963
max,-0.43875555915606584,0.8099864097538205,0.027664697066972978,3118.136218596518
