,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-0.44931244914726665,-0.29919851025958616,0.011413509655461753,80.95954601413774
std,0.25713640340885385,0.21850219954661082,0.007750816939761138,364.0838026618338
min,-0.986676985098453,-0.6888118571553513,0.0008656591065289295,0.13309078450824072
25%,-0.6405016707119366,-0.523724702117939,0.005946218142679709,3.5573297866296056
50%,-0.42775885137561165,-0.21960443356419235,0.009283948057154096,11.220731884744204
75%,-0.23285246918464925,-0.14934290824054106,0.014088550038534563,33.60545126772562
max,-0.08216697795473381,-0.002157102444661774,0.035967292066081485,3968.173992940116
