,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-0.20411679479786587,-1.028669281355837,0.012030423043279052,29.21466772025781
std,0.33098486875183475,0.18849524666213424,0.005533326578263054,67.27550106682763
min,-0.7005671392957271,-1.3313595143519024,0.0022241648988370055,0.014516153897381548
25%,-0.6106645264319046,-1.178748088899847,0.007516469137405982,4.415318509042656
50%,0.011390330797704119,-1.0374525815047324,0.011059348643533733,10.518737650022658
75%,0.046503638394521214,-0.8263271124191413,0.01622370463762439,23.99675599488593
max,0.3713961822124152,-0.7169062631782449,0.0261796598977233,682.3957478656108
