,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-0.41805162854540034,-0.5769292231041915,0.013220227463455777,26.92223935127202
std,0.11954107292362376,0.27300090119067366,0.004649267715048277,130.08348171386496
min,-0.635434859960601,-0.9523826284242309,0.0013501711015761954,0.14569756096438283
25%,-0.5155095305229392,-0.8504537175270306,0.010051725645803441,2.275079433214599
50%,-0.421139390245325,-0.6129414834660887,0.013442033336092738,6.707812460320204
75%,-0.32269063231963435,-0.2991226223331401,0.016896965139108683,18.849331482536307
max,-0.15793099333279842,-0.15883832064745756,0.022537749372397182,1689.814162281662
