,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,1.641117465996362,-0.09605027854603775,0.008060942889238592,74.66761887724432
std,0.08352964451638162,0.13518733605030953,0.004106675756663814,187.18639938188053
min,1.4931058359787304,-0.3404789995092147,0.0009375463272669036,0.18100275570159463
25%,1.5669261752350079,-0.17583500731162252,0.00500918459869007,7.143612231850789
50%,1.6710025305223133,-0.13226110070843106,0.007722102380529272,17.688017023974425
75%,1.6991316650549975,0.06108652232494619,0.010538472174659037,53.39132404081244
max,1.825268027195351,0.09397379780561853,0.020120733629181094,1593.0026183496252
