,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-0.08514055458370776,-0.5340992247500267,0.013482446136433289,25.367256282422264
std,0.3666349513362283,0.11995679977123913,0.0045754346553794935,83.69867182098785
min,-0.5688410075917885,-0.7885713036821759,0.0006283479165144532,0.09757415665042125
25%,-0.4327172578352557,-0.63233974312778,0.010566109943416911,4.085190574519491
50%,-0.1499181601540389,-0.5032976009212203,0.013256561055223291,9.528646076052613
75%,0.283092050498318,-0.4398720221923026,0.01667400937700859,16.73732779531574
max,0.4804985869851763,-0.34980299184475655,0.022928597659034777,822.3817638457773
