,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,0.6863766400359681,-0.43088305012157047,0.011929357226948089,30.420370018213987
std,0.29577496349386223,0.18370589131419968,0.004798909349527656,93.55178959837991
min,0.27789755180538234,-0.7073250062005223,0.0013157716329828253,0.02289812699335832
25%,0.4159423214061802,-0.6137735519158494,0.008786700265737806,3.835671366652634
50%,0.5988490732021399,-0.42537750379538924,0.012265953707851149,8.742183448335478
75%,0.9850384871667164,-0.29309243243001837,0.015225176521265864,19.94943236162489
max,1.1069774216043868,-0.014419754703560286,0.02337385027430179,1056.5408242093247
