,X,Y,SPEED,CURVATURE,ARCLENGTH
count,180.0,180.0,180.0,180.0,180.0
mean,-46.651690000000016,76.10757388888884,0.3503889743923888,0.585560922186446,27.97934838133744
std,8.3940582200625,4.345318110840472,0.1811637698923055,1.1442107232168772,18.70306464551222
min,-57.8737,71.13810000000001,0.035381704311687995,0.0011116294710554417,0.0
25%,-54.047200000000004,72.88145,0.17472803163185702,0.07488209655642038,9.801838264433286
50%,-47.357,75.14675,0.3836792032421,0.13808448668921208,29.53768770919733
75%,-39.226275,77.5839,0.5119526833743289,0.5499191471951632,44.63151215500239
max,-32.737500000000004,89.69760000000001,0.646540099297791,8.540328789361594,62.70662540953043
