,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-0.3933950740888796,0.03366052582249258,0.012677502408573158,22.924023772589585
std,0.21545936394677415,0.20766875149310715,0.00542603240547973,52.33124723632823
min,-0.7449588669271335,-0.3912750922180643,0.00137369663101931,0.10149123661403595
25%,-0.5669428446681481,-0.15205520836527536,0.008739296407729321,3.738745221270058
50%,-0.36457092656434426,0.07350823088928819,0.012442552505987577,9.164116796459782
75%,-0.2263304079469906,0.21227605024031426,0.01688329568540866,19.773548506495516
max,0.04126202667224715,0.3508490861846699,0.026221895600197345,533.5027968503109
