,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,0.49945653104498167,0.4323589415004523,0.013890424286621976,36.47732338440653
std,0.27333393159809083,0.37858466975539323,0.007259797677588705,109.73948724048813
min,0.11209777105348168,-0.2661875542766914,0.0008493692087327799,0.09093502073542012
25%,0.1996704327117998,0.14174174546815138,0.009350412260810398,2.701773609771804
50%,0.5804171729015573,0.492890313593945,0.013548254371232984,6.497999253589242
75%,0.6986183901500198,0.7789869454926461,0.018714727257525467,19.539137852803332
max,0.9069301049376627,0.8902426724752105,0.03724258976913482,1131.4532204478855
