,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,0.6715709381617184,-1.7872394014130544,0.009666670342940312,107.86243851784711
std,0.12354364734406133,0.11694542242089459,0.004302609485059405,553.684984736414
min,0.4147045151086885,-2.028866960549551,0.0005373764883033836,0.3980288303621775
25%,0.6129262037585537,-1.8662058908558932,0.006537412307372277,5.393830124238775
50%,0.6815454636584535,-1.7677521162934613,0.00948679406037907,16.323229284623633
75%,0.7470356448799005,-1.7233861657315903,0.012774479427740841,31.672452408784473
max,0.974269388937888,-1.5637208157620308,0.018867375775114752,6261.387709908564
