,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,0.2745650117560152,0.8222065671291762,0.011580312371656227,65.8336848035283
std,0.33271189092928877,0.3127864451313354,0.006718634134395417,233.29264970925317
min,-0.23144120765906576,0.3693672204981772,0.0007080316761765824,0.07198626510373772
25%,-0.15767938648256954,0.5532771026771349,0.006404708303822745,4.767273502684301
50%,0.3469401463207258,0.7398853682407835,0.010381609531035176,11.388684611289822
75%,0.5983598966883934,1.1208072520596282,0.01492518025601872,27.200821010521388
max,0.717629419799776,1.2876955720998544,0.03241645062037426,1716.6872821940756
