,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,0.969828112291366,0.42684261482979574,0.01248845707266061,24.38683386825114
std,0.27154360400565103,0.1408570070660259,0.00529712019641216,58.9678865066624
min,0.5882226569583485,0.15680342282501125,0.0010529809044984844,0.03563169497326269
25%,0.7422630532122886,0.32647337103010715,0.008523478820767373,3.3692166836511745
50%,0.8906392794858445,0.42323248457813734,0.01244620859641696,7.672095213056217
75%,1.1259254032051786,0.5511728410952401,0.016239679155377322,27.437983845315422
max,1.5751247425373467,0.6236979382135504,0.024866737185364172,658.3091317991598
