,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-0.6347690255739991,-0.9366235486355118,0.012654966086362296,84.25848470055297
std,0.3356277630215565,0.1610213688350719,0.006755543867571352,834.5574891030371
min,-1.2278486981779921,-1.195677725809875,0.000490365443580455,0.08810918148979524
25%,-0.8241757041493816,-1.0706822274683723,0.008078998538628703,3.4044278026590327
50%,-0.6352572144638845,-0.9077492304803336,0.011738292094941835,7.817752359280798
75%,-0.3211501860323373,-0.8112797586855697,0.016674230316012957,18.308259973372337
max,-0.15660587759201203,-0.6834542687305782,0.031313481713010106,11187.185486269776
