,X,Y,SPEED,CURVATURE
count,180.0,180.0,180.0,180.0
mean,-0.09499037428922075,0.17066748061706205,0.00951469864590974,441.1747654080876
std,0.33462972815676767,0.051227270372129485,0.005445425489497524,4319.864465737582
min,-0.6562884664978975,0.08505474431636349,0.000182888363574075,0.040657990195481726
25%,-0.4349521328521202,0.13103268235281143,0.00595358934839282,5.2319988991394855
50%,-0.13825659528806966,0.16788960774394568,0.007939449430328226,15.167917431417692
75%,0.27985067493454585,0.20213160016443027,0.01265183402750376,49.275169065484214
max,0.41063737198879013,0.2709881362183539,0.02939238637412761,57489.26911060873
