Sequence-a,Sequence-b,Sequence-c,Sequence-d,x,y
,,,,12.12,1.02
,,,,12.12,0.98
,,,,11.02,0.86
,,,,8.89,0.65
,,,,5.95,0.41
,,,,2.48,0.15
,,,,-1.17,-0.09
,,,,-4.65,-0.27
,,,,-7.62,-0.39
,,,,-9.81,-0.44
,,,,-11.03,-0.42
,,,,-11.23,-0.35
,,,,-10.45,-0.27
,,,,-8.83,-0.19
,,,,-6.61,-0.13
,,,,-4.07,-0.13
,,,,-1.49,-0.17
,,,,0.84,-0.27
,,,,2.71,-0.41
